103   HUS   ['A', 'B', 'O', 'D', 'R', 'I', 'G', 'H', 'F', 'Z', 'K', 'L', 'U', 'N', 'C', 'P', 'T', 'E', 'S', 'Q', 'M', 'V', 'W', 'X', 'Y', 'J']   6
103   KUP   ['C', 'B', 'A', 'X', 'M', 'F', 'K', 'U', 'V', 'J', 'G', 'L', 'E', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'H', 'I', 'W', 'D', 'Y', 'Z']   6
104   CDO   ['A', 'C', 'B', 'X', 'E', 'F', 'P', 'H', 'T', 'J', 'Q', 'L', 'M', 'N', 'O', 'G', 'K', 'Z', 'S', 'I', 'U', 'V', 'W', 'D', 'Y', 'R']   6
104   KJS   ['C', 'B', 'A', 'D', 'E', 'U', 'G', 'Q', 'I', 'J', 'K', 'S', 'M', 'N', 'O', 'P', 'H', 'R', 'L', 'T', 'F', 'X', 'W', 'V', 'Z', 'Y']   6
120   MLF   ['A', 'B', 'C', 'E', 'D', 'F', 'G', 'H', 'I', 'Q', 'T', 'U', 'P', 'X', 'O', 'M', 'J', 'R', 'S', 'K', 'L', 'V', 'W', 'N', 'Y', 'Z']   6
120   RWK   ['A', 'B', 'C', 'D', 'F', 'E', 'G', 'I', 'H', 'Z', 'X', 'R', 'O', 'N', 'M', 'P', 'Q', 'L', 'S', 'T', 'U', 'V', 'W', 'K', 'Y', 'J']   6
120   RWK   ['Z', 'B', 'C', 'D', 'E', 'F', 'G', 'I', 'H', 'J', 'X', 'R', 'O', 'N', 'M', 'Y', 'Q', 'L', 'S', 'T', 'U', 'V', 'W', 'K', 'P', 'A']   6
120   SMO   ['A', 'H', 'C', 'D', 'P', 'F', 'R', 'B', 'I', 'J', 'Z', 'O', 'M', 'N', 'L', 'E', 'Q', 'G', 'S', 'U', 'T', 'V', 'W', 'X', 'Y', 'K']   6
120   SMO   ['A', 'H', 'C', 'D', 'E', 'Z', 'R', 'B', 'I', 'J', 'K', 'O', 'M', 'N', 'L', 'P', 'Q', 'G', 'S', 'U', 'T', 'V', 'W', 'X', 'Y', 'F']   5
123   KLA   ['Q', 'B', 'C', 'E', 'D', 'F', 'J', 'H', 'Z', 'G', 'K', 'L', 'M', 'N', 'O', 'P', 'A', 'R', 'T', 'S', 'V', 'U', 'W', 'X', 'Y', 'I']   6
123   KLA   ['Q', 'B', 'N', 'E', 'D', 'F', 'J', 'H', 'Z', 'G', 'K', 'L', 'M', 'C', 'O', 'P', 'A', 'R', 'S', 'T', 'V', 'U', 'W', 'X', 'Y', 'I']   6
124   NUC   ['A', 'Z', 'D', 'C', 'E', 'F', 'K', 'H', 'I', 'J', 'G', 'S', 'M', 'X', 'O', 'P', 'Y', 'R', 'L', 'T', 'U', 'V', 'W', 'N', 'Q', 'B']   6
124   RQQ   ['R', 'B', 'E', 'I', 'C', 'F', 'G', 'H', 'D', 'J', 'K', 'L', 'M', 'N', 'T', 'S', 'Z', 'A', 'P', 'O', 'U', 'V', 'W', 'X', 'Y', 'Q']   6
124   WAT   ['A', 'B', 'C', 'D', 'E', 'T', 'M', 'J', 'Z', 'H', 'K', 'W', 'G', 'N', 'O', 'P', 'Q', 'R', 'S', 'F', 'U', 'X', 'L', 'V', 'Y', 'I']   6
124   WAT   ['A', 'B', 'Y', 'D', 'E', 'F', 'M', 'J', 'Z', 'H', 'K', 'W', 'G', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U', 'X', 'L', 'V', 'C', 'I']   6
130   CTD   ['A', 'B', 'C', 'T', 'G', 'U', 'E', 'P', 'K', 'J', 'I', 'L', 'M', 'N', 'O', 'H', 'Q', 'R', 'S', 'D', 'F', 'V', 'W', 'Z', 'Y', 'X']   6
130   HUS   ['A', 'B', 'U', 'D', 'X', 'F', 'S', 'H', 'J', 'I', 'K', 'L', 'M', 'N', 'O', 'V', 'Q', 'T', 'G', 'R', 'C', 'P', 'W', 'E', 'Y', 'Z']   6
130   NYG   ['A', 'B', 'Y', 'D', 'E', 'F', 'Z', 'H', 'P', 'M', 'K', 'T', 'J', 'N', 'U', 'I', 'Q', 'R', 'S', 'L', 'O', 'V', 'W', 'X', 'C', 'G']   6
132   EEY   ['A', 'B', 'X', 'D', 'M', 'F', 'G', 'V', 'I', 'J', 'K', 'L', 'E', 'T', 'O', 'Q', 'P', 'R', 'U', 'N', 'S', 'H', 'W', 'C', 'Y', 'Z']   6
132   FIF   ['A', 'B', 'D', 'C', 'E', 'F', 'G', 'Q', 'M', 'J', 'K', 'Y', 'I', 'N', 'O', 'W', 'H', 'U', 'S', 'T', 'R', 'V', 'P', 'X', 'L', 'Z']   6
132   HTX   ['A', 'U', 'C', 'D', 'E', 'F', 'M', 'H', 'W', 'Q', 'K', 'L', 'G', 'N', 'O', 'P', 'J', 'R', 'T', 'S', 'B', 'X', 'I', 'V', 'Y', 'Z']   6
